source,target,experiment,mean +/- std,p_value,sig
Image_first,Image_first,exp1,0.506153059108172+/-0.0501095988775957,8.841535074196482,8.84153507419648
Image_first,Simultaneous,exp1,0.515588319477126+/-0.0326224056131016,0.08836498234731324,0.0883649823473132
Image_first,Word_first,exp1,0.503238934906562+/-0.0277075590542805,9.282761914626516,9.28276191462652
Simultaneous,Image_first,exp1,0.512948261482077+/-0.0335410180190992,0.3852693805203062,0.385269380520306
Simultaneous,Simultaneous,exp1,0.496798190720883+/-0.0465170403425458,26.685469960491766,26.6854699604918
Simultaneous,Word_first,exp1,0.50678270334208+/-0.0338249714720956,4.244744987506341,4.24474498750634
Word_first,Image_first,exp1,0.508252163177301+/-0.0283407577279944,1.4630793958199417,1.46307939581994
Word_first,Simultaneous,exp1,0.508047392515438+/-0.0330284117223168,2.627937843357693,2.62793784335769
Word_first,Word_first,exp1,0.504755055496294+/-0.0476491246305276,10.632522250366975,10.632522250367
Image_first,Image_first,exp2,0.51789010315369+/-0.0481210223504156,0.4771072960785217,0.477107296078522
Image_first,Simultaneous,exp2,0.498476235044142+/-0.0392476487059769,23.853586844492867,23.8535868444929
Image_first,Word_first,exp2,0.507783841591147+/-0.0315026112176416,2.5240139994340707,2.52401399943407
Simultaneous,Image_first,exp2,0.501408339457295+/-0.0389060685566485,16.402251289913295,16.4022512899133
Simultaneous,Simultaneous,exp2,0.513811493328213+/-0.0439159653666625,1.0748396330003986,1.0748396330004
Simultaneous,Word_first,exp2,0.504145477190943+/-0.0383576620650389,9.966364899186761,9.96636489918676
Word_first,Image_first,exp2,0.507044466051309+/-0.0379778977016899,4.957158899581382,4.95715889958138
Word_first,Simultaneous,exp2,0.501532344023132+/-0.0419010987276073,16.36594124824118,16.3659412482412
Word_first,Word_first,exp2,0.501839766230813+/-0.0504635084861341,16.3769809719625,16.3769809719625
Image_first,Image_first,exp1 → exp2,0.496194660439427+/-0.028966370311308,31.77781969607161,31.7778196960716
Image_first,Image_first,exp2 → exp1,0.498159561428605+/-0.0316799105623837,25.69421443691803,25.694214436918
Image_first,Simultaneous,exp1 → exp2,0.513233713005693+/-0.033350668815865,0.32695847053148097,0.326958470531481
Image_first,Simultaneous,exp2 → exp1,0.505026463150014+/-0.0335221570914349,6.975998863560147,6.97599886356015
Image_first,Word_first,exp1 → exp2,0.502854730745528+/-0.033087674611467,11.768030922999655,11.7680309229997
Image_first,Word_first,exp2 → exp1,0.507659543799407+/-0.029154595359037,2.092249293308326,2.09224929330833
Simultaneous,Image_first,exp1 → exp2,0.504013108806821+/-0.031381775193705,8.470902085941558,8.47090208594156
Simultaneous,Image_first,exp2 → exp1,0.513777208786898+/-0.0302594539068839,0.1287049130692201,0.12870491306922
Simultaneous,Simultaneous,exp1 → exp2,0.507509461404395+/-0.0303618872462726,2.516693676262905,2.5166936762629
Simultaneous,Simultaneous,exp2 → exp1,0.512064268557261+/-0.029093476140265,0.24767730790396844,0.247677307903968
Simultaneous,Word_first,exp1 → exp2,0.503453936706988+/-0.0229027973938,6.921223819275011,6.92122381927501
Simultaneous,Word_first,exp2 → exp1,0.503353206692952+/-0.0320049675309041,10.229261528795998,10.229261528796
Word_first,Image_first,exp1 → exp2,0.50439716805382+/-0.0282555894763427,6.621340491243181,6.62134049124318
Word_first,Image_first,exp2 → exp1,0.502647173922008+/-0.0357235838926073,12.838442924218892,12.8384429242189
Word_first,Simultaneous,exp1 → exp2,0.500865137860875+/-0.0389752050303535,17.781535966898133,17.7815359668981
Word_first,Simultaneous,exp2 → exp1,0.502497863311512+/-0.0202375562513094,8.794753351716816,8.79475335171682
Word_first,Word_first,exp1 → exp2,0.498052880287807+/-0.0306690184368714,26.195628401965763,26.1956284019658
Word_first,Word_first,exp2 → exp1,0.500116875177975+/-0.0327394007071346,19.642043596129835,19.6420435961298
