,subj_idx,source,target,variable,value
0,1,No_Ref,Self_Ref,ACC,-0.004788436692506448
1,2,No_Ref,Self_Ref,ACC,0.011619412865817422
2,3,No_Ref,Self_Ref,ACC,0.009376217207011216
3,4,No_Ref,Self_Ref,ACC,-0.014533506067853658
4,5,No_Ref,Self_Ref,ACC,0.05170173961840626
5,6,No_Ref,Self_Ref,ACC,0.018116580513784487
6,7,No_Ref,Self_Ref,ACC,0.020627919586252864
7,8,No_Ref,Self_Ref,ACC,-0.00017580630382996732
8,9,No_Ref,Self_Ref,ACC,-0.03376652460707399
9,10,No_Ref,Self_Ref,ACC,0.01230934343434345
10,11,No_Ref,Self_Ref,ACC,0.056438789868667905
11,12,No_Ref,Self_Ref,ACC,0.05410531652265911
12,13,No_Ref,Self_Ref,ACC,-0.0006544441865862172
13,14,No_Ref,Self_Ref,ACC,-0.03870371752762023
14,15,No_Ref,Self_Ref,ACC,0.0626923889071371
15,16,No_Ref,Self_Ref,ACC,-0.022659334461364943
16,17,No_Ref,Self_Ref,ACC,0.01817890629549817
17,18,No_Ref,Self_Ref,ACC,0.009878451447059195
18,19,No_Ref,Self_Ref,ACC,0.03872301654051021
19,20,No_Ref,Self_Ref,ACC,0.02806917596521557
20,21,No_Ref,Self_Ref,ACC,0.05866873866873864
21,22,No_Ref,Self_Ref,ACC,-0.016165508434307384
22,23,No_Ref,Self_Ref,ACC,0.0008364898989898922
23,24,No_Ref,Self_Ref,ACC,0.00020703933747404646
24,25,No_Ref,Self_Ref,ACC,-0.007771331883006954
25,26,No_Ref,Self_Ref,ACC,0.04422988254707817
26,27,No_Ref,Self_Ref,ACC,0.02556655723816579
27,28,No_Ref,Self_Ref,ACC,0.03490283047892516
28,29,No_Ref,Self_Ref,ACC,0.017768494897959213
29,30,No_Ref,Self_Ref,ACC,0.006701478578426972
30,31,No_Ref,Self_Ref,ACC,-0.010314485614335848
31,32,No_Ref,Self_Ref,ACC,0.0066923140223831504
32,33,No_Ref,Self_Ref,ACC,0.007123676656687061
33,34,No_Ref,Self_Ref,ACC,0.03248774204271579
34,35,No_Ref,Self_Ref,ACC,0.0038116714351234537
35,36,No_Ref,Self_Ref,ACC,-0.02093352192362101
36,37,No_Ref,Self_Ref,ACC,-0.014604097452934612
37,38,No_Ref,Self_Ref,ACC,0.0006246036778693842
38,39,No_Ref,Self_Ref,ACC,-0.01209608323133412
39,40,No_Ref,Self_Ref,ACC,-0.025617057673509303
40,41,No_Ref,Self_Ref,ACC,0.0074253034547152345
41,42,No_Ref,Self_Ref,ACC,0.003323529411764792
42,43,No_Ref,Self_Ref,ACC,0.0037423221715870065
43,44,No_Ref,Self_Ref,ACC,0.019172876304023784
44,45,No_Ref,Self_Ref,ACC,-0.013147619047619057
45,46,No_Ref,Self_Ref,ACC,-0.006582533475530267
46,47,No_Ref,Self_Ref,ACC,0.003402032749858819
47,48,No_Ref,Self_Ref,ACC,-0.017940251572327044
48,49,No_Ref,Self_Ref,ACC,-0.02172802197802192
49,50,No_Ref,Self_Ref,ACC,-0.033676307007786455
50,51,No_Ref,Self_Ref,ACC,-0.014193396226415116
51,52,No_Ref,Self_Ref,ACC,0.021673405211140962
52,53,No_Ref,Self_Ref,ACC,0.014432435491172407
53,54,No_Ref,Self_Ref,ACC,0.024810380725758446
54,55,No_Ref,Self_Ref,ACC,-0.028570156695156772
55,56,No_Ref,Self_Ref,ACC,0.01598837209302322
56,57,No_Ref,Self_Ref,ACC,-0.02111977321048896
57,58,No_Ref,Self_Ref,ACC,-0.038448985383851324
58,59,No_Ref,Self_Ref,ACC,0.029747400909681625
59,60,No_Ref,Self_Ref,ACC,-0.011782661782661866
60,61,No_Ref,Self_Ref,ACC,0.02657236380640634
61,62,No_Ref,Self_Ref,ACC,-0.01981694983818775
62,63,No_Ref,Self_Ref,ACC,-0.004127543035993728
63,64,No_Ref,Self_Ref,ACC,-0.014078518173345766
64,65,No_Ref,Self_Ref,ACC,-0.009761197403687855
65,66,No_Ref,Self_Ref,ACC,0.01648210489014878
66,67,No_Ref,Self_Ref,ACC,0.02608940556088204
67,68,No_Ref,Self_Ref,ACC,-0.052807037203048
68,69,No_Ref,Self_Ref,ACC,-0.025230112998578226
69,70,No_Ref,Self_Ref,ACC,-0.02381707388356323
70,71,No_Ref,Self_Ref,ACC,0.0299039261107151
71,72,No_Ref,Self_Ref,ACC,-0.019331907952742023
72,73,No_Ref,Self_Ref,ACC,-0.014357541899441389
73,74,No_Ref,Self_Ref,ACC,0.023626465661641526
74,75,No_Ref,Self_Ref,ACC,0.006968286099865048
75,76,No_Ref,Self_Ref,ACC,0.0195706122789456
76,77,No_Ref,Self_Ref,ACC,0.002053474238026082
77,78,No_Ref,Self_Ref,ACC,-0.00796798193171241
78,79,No_Ref,Self_Ref,ACC,0.00699237887860652
79,80,No_Ref,Self_Ref,ACC,0.07826862792380038
80,81,No_Ref,Self_Ref,ACC,-0.02785170137125447
81,82,No_Ref,Self_Ref,ACC,-0.03194467658365373
82,83,No_Ref,Self_Ref,ACC,-0.02622534013605442
83,84,No_Ref,Self_Ref,ACC,-0.01686538006156766
84,85,No_Ref,Self_Ref,ACC,-0.012638776971976092
85,86,No_Ref,Self_Ref,ACC,-0.00786150983519407
86,87,No_Ref,Self_Ref,ACC,-0.02545033453422544
87,88,No_Ref,Self_Ref,ACC,0.01705275809716603
88,89,No_Ref,Self_Ref,ACC,0.01341226708074531
89,90,No_Ref,Self_Ref,ACC,-0.0008865647023541367
90,91,No_Ref,Self_Ref,ACC,0.008050799729668854
91,92,No_Ref,Self_Ref,ACC,0.0011776083741039862
92,93,No_Ref,Self_Ref,ACC,-0.001549072817729516
93,94,No_Ref,Self_Ref,ACC,-0.00964861523894689
94,95,No_Ref,Self_Ref,ACC,0.06891665527143447
95,96,No_Ref,Self_Ref,ACC,-0.0012884019775696199
96,97,No_Ref,Self_Ref,ACC,-0.003987689393939417
97,98,No_Ref,Self_Ref,ACC,0.01968516042780738
98,99,No_Ref,Self_Ref,ACC,0.0009068507229112788
99,100,No_Ref,Self_Ref,ACC,0.0453122485921158
100,101,No_Ref,Self_Ref,ACC,0.025504150749338806
101,102,No_Ref,Self_Ref,ACC,0.028458452983271848
102,103,No_Ref,Self_Ref,ACC,0.04355365157078749
103,104,No_Ref,Self_Ref,ACC,-0.0004860979537703924
104,105,No_Ref,Self_Ref,ACC,0.050841075450450454
105,106,No_Ref,Self_Ref,ACC,0.03342675203402372
106,107,No_Ref,Self_Ref,ACC,0.012321406462795514
107,108,No_Ref,Self_Ref,ACC,0.03739405985149627
