,subj_idx,source,target,variable,value
0,1,No_Ref,Self_Ref,ACC1b,0.0025290263760237796
1,2,No_Ref,Self_Ref,ACC1b,-0.004887754529060148
2,3,No_Ref,Self_Ref,ACC1b,0.0007722825627909102
3,4,No_Ref,Self_Ref,ACC1b,0.002445995435714776
4,5,No_Ref,Self_Ref,ACC1b,-0.0029504035914889094
5,6,No_Ref,Self_Ref,ACC1b,-0.0009853647227622748
6,7,No_Ref,Self_Ref,ACC1b,0.0011018502587488127
7,8,No_Ref,Self_Ref,ACC1b,0.0015621498820986817
8,9,No_Ref,Self_Ref,ACC1b,-0.004798251128774836
9,10,No_Ref,Self_Ref,ACC1b,0.0005465599998667192
10,11,No_Ref,Self_Ref,ACC1b,0.00041342227942545997
11,12,No_Ref,Self_Ref,ACC1b,0.0024169120388065567
12,13,No_Ref,Self_Ref,ACC1b,0.001278352552943124
13,14,No_Ref,Self_Ref,ACC1b,0.004948556633769729
14,15,No_Ref,Self_Ref,ACC1b,0.00013010908580107783
15,16,No_Ref,Self_Ref,ACC1b,-0.0002008709840483236
16,17,No_Ref,Self_Ref,ACC1b,-0.003870572111571183
17,18,No_Ref,Self_Ref,ACC1b,0.0009503863001191881
18,19,No_Ref,Self_Ref,ACC1b,-0.0019842916546543633
19,20,No_Ref,Self_Ref,ACC1b,-0.00038633213800821074
20,21,No_Ref,Self_Ref,ACC1b,0.0005542841855244341
21,22,No_Ref,Self_Ref,ACC1b,-0.0008873941554304543
22,23,No_Ref,Self_Ref,ACC1b,0.0022137452241094173
23,24,No_Ref,Self_Ref,ACC1b,-0.006357936462877795
24,25,No_Ref,Self_Ref,ACC1b,0.0033204161136543174
25,26,No_Ref,Self_Ref,ACC1b,-0.00251467572295358
26,27,No_Ref,Self_Ref,ACC1b,-0.004763920386046294
27,28,No_Ref,Self_Ref,ACC1b,0.001240415151517238
28,29,No_Ref,Self_Ref,ACC1b,0.0026568506334042645
29,30,No_Ref,Self_Ref,ACC1b,-0.003996527258147553
30,31,No_Ref,Self_Ref,ACC1b,-0.0021941567131500473
31,32,No_Ref,Self_Ref,ACC1b,-6.406203589122695e-05
32,33,No_Ref,Self_Ref,ACC1b,-0.00249724611452041
33,34,No_Ref,Self_Ref,ACC1b,0.008166459022437112
34,35,No_Ref,Self_Ref,ACC1b,0.0010555094618277029
35,36,No_Ref,Self_Ref,ACC1b,-0.0031738166109535003
36,37,No_Ref,Self_Ref,ACC1b,-0.02235786849831381
37,38,No_Ref,Self_Ref,ACC1b,-0.005635802146573993
38,39,No_Ref,Self_Ref,ACC1b,0.001455637769355922
39,40,No_Ref,Self_Ref,ACC1b,-0.0006531844617453597
40,41,No_Ref,Self_Ref,ACC1b,0.004683358044621938
41,42,No_Ref,Self_Ref,ACC1b,-0.0006216208019637348
42,43,No_Ref,Self_Ref,ACC1b,0.0009530319230860951
43,44,No_Ref,Self_Ref,ACC1b,-0.002080449880921237
44,45,No_Ref,Self_Ref,ACC1b,0.002843312370603851
45,46,No_Ref,Self_Ref,ACC1b,-0.001498532174391154
46,47,No_Ref,Self_Ref,ACC1b,-0.0015131879742870003
47,48,No_Ref,Self_Ref,ACC1b,-4.301595163280769e-06
48,49,No_Ref,Self_Ref,ACC1b,0.0004365544624198303
49,50,No_Ref,Self_Ref,ACC1b,-0.011464056973726478
50,51,No_Ref,Self_Ref,ACC1b,0.00045477489357863
51,52,No_Ref,Self_Ref,ACC1b,-0.001608005623607045
52,53,No_Ref,Self_Ref,ACC1b,0.00015735140609506314
53,54,No_Ref,Self_Ref,ACC1b,0.0039470281282151356
54,55,No_Ref,Self_Ref,ACC1b,-0.0026890464275785286
55,56,No_Ref,Self_Ref,ACC1b,-0.0005693493957526552
56,57,No_Ref,Self_Ref,ACC1b,0.0017522765677671303
57,58,No_Ref,Self_Ref,ACC1b,0.0010599888740178032
58,59,No_Ref,Self_Ref,ACC1b,-0.0005547434473072265
59,60,No_Ref,Self_Ref,ACC1b,0.0011674424338085465
60,61,No_Ref,Self_Ref,ACC1b,0.0009163332477441722
61,62,No_Ref,Self_Ref,ACC1b,-0.005636664651598728
62,63,No_Ref,Self_Ref,ACC1b,-0.005785711589096204
63,64,No_Ref,Self_Ref,ACC1b,0.0063876633965578465
64,65,No_Ref,Self_Ref,ACC1b,-0.0016752057698868283
65,66,No_Ref,Self_Ref,ACC1b,0.008747168878487805
66,67,No_Ref,Self_Ref,ACC1b,0.0009782442185402418
67,68,No_Ref,Self_Ref,ACC1b,-0.0007922953400897548
68,69,No_Ref,Self_Ref,ACC1b,0.0007044446867662535
69,70,No_Ref,Self_Ref,ACC1b,-0.0025046362114442334
70,71,No_Ref,Self_Ref,ACC1b,-0.002518079687666014
71,72,No_Ref,Self_Ref,ACC1b,0.00293107141846638
72,73,No_Ref,Self_Ref,ACC1b,-0.004369133217109028
73,74,No_Ref,Self_Ref,ACC1b,-0.0017495639109184169
74,75,No_Ref,Self_Ref,ACC1b,0.0034091528815496487
75,76,No_Ref,Self_Ref,ACC1b,0.003265762925306376
76,77,No_Ref,Self_Ref,ACC1b,8.569120662282325e-05
77,78,No_Ref,Self_Ref,ACC1b,0.00025297409986885233
78,79,No_Ref,Self_Ref,ACC1b,0.002728592942804908
79,80,No_Ref,Self_Ref,ACC1b,-0.0035877514017784882
80,81,No_Ref,Self_Ref,ACC1b,0.0015820264184614407
81,82,No_Ref,Self_Ref,ACC1b,0.0014152423108143685
82,83,No_Ref,Self_Ref,ACC1b,-0.004002194920226637
83,84,No_Ref,Self_Ref,ACC1b,-0.002143762205394184
84,85,No_Ref,Self_Ref,ACC1b,0.005439033322932008
85,86,No_Ref,Self_Ref,ACC1b,-0.0049045589559433556
86,87,No_Ref,Self_Ref,ACC1b,-0.00025362660350271017
87,88,No_Ref,Self_Ref,ACC1b,0.0009331263948188951
88,89,No_Ref,Self_Ref,ACC1b,-0.0032695448286711283
89,90,No_Ref,Self_Ref,ACC1b,-6.137871106857152e-05
90,91,No_Ref,Self_Ref,ACC1b,0.0016684051782260788
91,92,No_Ref,Self_Ref,ACC1b,0.00041888619749837485
92,93,No_Ref,Self_Ref,ACC1b,0.0007962714096709678
93,94,No_Ref,Self_Ref,ACC1b,-0.00017086796530449422
94,95,No_Ref,Self_Ref,ACC1b,-0.004941840804087877
95,96,No_Ref,Self_Ref,ACC1b,-0.0021469813412378193
96,97,No_Ref,Self_Ref,ACC1b,0.004242692255727954
97,98,No_Ref,Self_Ref,ACC1b,0.0011183906592760861
98,99,No_Ref,Self_Ref,ACC1b,0.0007576188419275321
99,100,No_Ref,Self_Ref,ACC1b,0.0031329741105185103
100,101,No_Ref,Self_Ref,ACC1b,-0.0034530790467511953
101,102,No_Ref,Self_Ref,ACC1b,0.00027393655161455087
102,103,No_Ref,Self_Ref,ACC1b,0.007414063567154072
103,104,No_Ref,Self_Ref,ACC1b,0.000979183031323516
104,105,No_Ref,Self_Ref,ACC1b,-0.004621744249051396
105,106,No_Ref,Self_Ref,ACC1b,-0.005588705273285188
106,107,No_Ref,Self_Ref,ACC1b,0.002016196148795385
107,108,No_Ref,Self_Ref,ACC1b,-0.00247052998669266
108,109,No_Ref,Self_Ref,ACC1b,0.0056347754150155695
109,110,No_Ref,Self_Ref,ACC1b,-0.0015380609271864521
110,111,No_Ref,Self_Ref,ACC1b,-0.001311281393031205
111,112,No_Ref,Self_Ref,ACC1b,-0.0035795787408946732
112,113,No_Ref,Self_Ref,ACC1b,0.0013372321999134517
113,114,No_Ref,Self_Ref,ACC1b,-0.002288749247573385
114,115,No_Ref,Self_Ref,ACC1b,-0.00069710911498993
115,116,No_Ref,Self_Ref,ACC1b,0.0018993699539887332
116,117,No_Ref,Self_Ref,ACC1b,-0.0014566178147361552
117,118,No_Ref,Self_Ref,ACC1b,0.0001040545718228092
118,119,No_Ref,Self_Ref,ACC1b,-0.0003614999987927803
119,120,No_Ref,Self_Ref,ACC1b,-0.004000297164217304
120,121,No_Ref,Self_Ref,ACC1b,0.002538272947372322
121,122,No_Ref,Self_Ref,ACC1b,-1.182316642154846e-05
122,123,No_Ref,Self_Ref,ACC1b,-0.005691512888451306
123,124,No_Ref,Self_Ref,ACC1b,0.0008907641983024849
124,125,No_Ref,Self_Ref,ACC1b,-0.0007492120906452792
125,126,No_Ref,Self_Ref,ACC1b,0.0032087302272915787
126,127,No_Ref,Self_Ref,ACC1b,0.009180440413156193
127,128,No_Ref,Self_Ref,ACC1b,0.004717834550286548
128,129,No_Ref,Self_Ref,ACC1b,0.0025997684228124705
129,130,No_Ref,Self_Ref,ACC1b,-0.0050999019787337395
130,131,No_Ref,Self_Ref,ACC1b,0.00044730380007882987
131,132,No_Ref,Self_Ref,ACC1b,0.002548793926948678
132,133,No_Ref,Self_Ref,ACC1b,-0.002284087036359672
133,134,No_Ref,Self_Ref,ACC1b,-0.0011090313447165933
134,135,No_Ref,Self_Ref,ACC1b,-0.0036808474736444996
135,136,No_Ref,Self_Ref,ACC1b,-0.0023995500147587444
136,137,No_Ref,Self_Ref,ACC1b,-0.006061263432665392
137,138,No_Ref,Self_Ref,ACC1b,0.002462228968623359
138,139,No_Ref,Self_Ref,ACC1b,0.004199628523194271
139,140,No_Ref,Self_Ref,ACC1b,0.0020519800595953735
140,141,No_Ref,Self_Ref,ACC1b,-0.002112050893828249
141,142,No_Ref,Self_Ref,ACC1b,-0.00048676776806672874
142,143,No_Ref,Self_Ref,ACC1b,0.0011126310010556501
143,144,No_Ref,Self_Ref,ACC1b,-0.00704894869595038
144,145,No_Ref,Self_Ref,ACC1b,-0.0017049183889356113
145,146,No_Ref,Self_Ref,ACC1b,0.00010508463692039393
146,147,No_Ref,Self_Ref,ACC1b,-0.004363445353673323
147,148,No_Ref,Self_Ref,ACC1b,-0.006042817190279737
148,149,No_Ref,Self_Ref,ACC1b,-0.005663349707344526
149,150,No_Ref,Self_Ref,ACC1b,-0.0035706369958015014
150,151,No_Ref,Self_Ref,ACC1b,-0.0013806748366747667
151,152,No_Ref,Self_Ref,ACC1b,0.006030589480609661
152,153,No_Ref,Self_Ref,ACC1b,-0.003955416649883364
153,154,No_Ref,Self_Ref,ACC1b,0.006038465930243292
154,155,No_Ref,Self_Ref,ACC1b,-0.00021814750519480176
155,156,No_Ref,Self_Ref,ACC1b,0.001803419003663026
156,157,No_Ref,Self_Ref,ACC1b,-0.003639413054015045
157,158,No_Ref,Self_Ref,ACC1b,-0.0025612019819826635
158,159,No_Ref,Self_Ref,ACC1b,-0.00232852565922857
159,160,No_Ref,Self_Ref,ACC1b,4.7779992146329554e-05
160,161,No_Ref,Self_Ref,ACC1b,-0.00924375415892848
161,162,No_Ref,Self_Ref,ACC1b,-0.0056138061368747215
162,163,No_Ref,Self_Ref,ACC1b,0.0051362614692399165
163,164,No_Ref,Self_Ref,ACC1b,-0.003262520366479027
164,165,No_Ref,Self_Ref,ACC1b,-0.0060606671957475575
165,166,No_Ref,Self_Ref,ACC1b,-0.002944462256150271
166,167,No_Ref,Self_Ref,ACC1b,0.0009361880615151141
167,168,No_Ref,Self_Ref,ACC1b,0.0035235166673522307
168,169,No_Ref,Self_Ref,ACC1b,0.0027571872977674577
169,170,No_Ref,Self_Ref,ACC1b,-0.006126403500631927
170,171,No_Ref,Self_Ref,ACC1b,-0.002007064205788786
171,172,No_Ref,Self_Ref,ACC1b,-0.005358419246279217
172,173,No_Ref,Self_Ref,ACC1b,-0.002833548247746151
173,174,No_Ref,Self_Ref,ACC1b,0.005711615112818214
174,175,No_Ref,Self_Ref,ACC1b,-0.003850817058206321
175,176,No_Ref,Self_Ref,ACC1b,-0.005694953193460819
176,177,No_Ref,Self_Ref,ACC1b,0.0069743822248765994
177,178,No_Ref,Self_Ref,ACC1b,0.0009724699325126152
178,179,No_Ref,Self_Ref,ACC1b,0.001618552719148525
179,180,No_Ref,Self_Ref,ACC1b,0.001963397455498411
180,181,No_Ref,Self_Ref,ACC1b,-0.0068811521216758705
181,182,No_Ref,Self_Ref,ACC1b,-0.005663023857887956
182,183,No_Ref,Self_Ref,ACC1b,0.0010885893204537812
183,184,No_Ref,Self_Ref,ACC1b,-0.007693469660998253
184,185,No_Ref,Self_Ref,ACC1b,0.00021297780582784642
185,186,No_Ref,Self_Ref,ACC1b,-0.0009605839207822431
186,187,No_Ref,Self_Ref,ACC1b,0.001105353003627238
187,188,No_Ref,Self_Ref,ACC1b,-0.004340833514291764
188,189,No_Ref,Self_Ref,ACC1b,0.0016496449175765926
189,190,No_Ref,Self_Ref,ACC1b,-0.00012938122855418177
190,191,No_Ref,Self_Ref,ACC1b,-0.0008195500715859561
191,192,No_Ref,Self_Ref,ACC1b,-0.007306193790491494
192,193,No_Ref,Self_Ref,ACC1b,-0.0015736853621896695
193,194,No_Ref,Self_Ref,ACC1b,-0.004632742919954841
194,195,No_Ref,Self_Ref,ACC1b,0.006755887006094574
195,1,No_Ref,Self_Ref,RT1b,-0.0009672071083315581
196,2,No_Ref,Self_Ref,RT1b,-0.00017949709777945189
197,3,No_Ref,Self_Ref,RT1b,0.00018391322517599117
198,4,No_Ref,Self_Ref,RT1b,-0.001013012179633549
199,5,No_Ref,Self_Ref,RT1b,0.00018958784931529248
200,6,No_Ref,Self_Ref,RT1b,-6.919839767020597e-05
201,7,No_Ref,Self_Ref,RT1b,-0.00020319212311421808
202,8,No_Ref,Self_Ref,RT1b,7.053459119527039e-05
203,9,No_Ref,Self_Ref,RT1b,-0.0005472310746496955
204,10,No_Ref,Self_Ref,RT1b,-0.0005478143109162558
205,11,No_Ref,Self_Ref,RT1b,-0.00032854443345648463
206,12,No_Ref,Self_Ref,RT1b,0.00022167368663121302
207,13,No_Ref,Self_Ref,RT1b,0.0005733150342369208
208,14,No_Ref,Self_Ref,RT1b,0.0008293435054707643
209,15,No_Ref,Self_Ref,RT1b,-0.00017885647205594934
210,16,No_Ref,Self_Ref,RT1b,2.7808324181302634e-05
211,17,No_Ref,Self_Ref,RT1b,-0.00014468906966724204
212,18,No_Ref,Self_Ref,RT1b,0.000695659645714708
213,19,No_Ref,Self_Ref,RT1b,-0.00031149127383118814
214,20,No_Ref,Self_Ref,RT1b,0.0002513037879865343
215,21,No_Ref,Self_Ref,RT1b,0.001049629041817385
216,22,No_Ref,Self_Ref,RT1b,-0.0005491976789520847
217,23,No_Ref,Self_Ref,RT1b,9.179508317607166e-05
218,24,No_Ref,Self_Ref,RT1b,-0.0009679395255965728
219,25,No_Ref,Self_Ref,RT1b,2.6697894632399245e-05
220,26,No_Ref,Self_Ref,RT1b,0.00037167462947002293
221,27,No_Ref,Self_Ref,RT1b,0.0004996966785265122
222,28,No_Ref,Self_Ref,RT1b,0.0005344407033886888
223,29,No_Ref,Self_Ref,RT1b,-0.0008500016652531501
224,30,No_Ref,Self_Ref,RT1b,0.0006756017865734321
225,31,No_Ref,Self_Ref,RT1b,-0.000637336937741989
226,32,No_Ref,Self_Ref,RT1b,-0.0004764453736138596
227,33,No_Ref,Self_Ref,RT1b,-0.0004075694214169978
228,34,No_Ref,Self_Ref,RT1b,-5.6419622468617534e-05
229,35,No_Ref,Self_Ref,RT1b,-0.0003727165677343547
230,36,No_Ref,Self_Ref,RT1b,0.0029009581306873146
231,37,No_Ref,Self_Ref,RT1b,-0.00123555614784846
232,38,No_Ref,Self_Ref,RT1b,0.0005289690826957904
233,39,No_Ref,Self_Ref,RT1b,0.00038845118832265266
234,40,No_Ref,Self_Ref,RT1b,-0.00012391318167280784
235,41,No_Ref,Self_Ref,RT1b,-0.0020743230553649907
236,42,No_Ref,Self_Ref,RT1b,-0.0012519766231315677
237,43,No_Ref,Self_Ref,RT1b,0.0004994420414145939
238,44,No_Ref,Self_Ref,RT1b,0.00016087822450740473
239,45,No_Ref,Self_Ref,RT1b,0.0007610088564725004
240,46,No_Ref,Self_Ref,RT1b,-0.001498278655505031
241,47,No_Ref,Self_Ref,RT1b,0.0003447302057100532
242,48,No_Ref,Self_Ref,RT1b,0.0006980732573547866
243,49,No_Ref,Self_Ref,RT1b,0.0014764909948323467
244,50,No_Ref,Self_Ref,RT1b,-0.0008579001309080402
