,subj_idx,source,target,variable,value
0,1,No_Ref,Self_Ref,RT1b,0.001066622328226821
1,2,No_Ref,Self_Ref,RT1b,-0.00039538240653291535
2,3,No_Ref,Self_Ref,RT1b,0.0002217503783733199
3,4,No_Ref,Self_Ref,RT1b,0.0005609972601375746
4,5,No_Ref,Self_Ref,RT1b,0.000175227407544265
5,6,No_Ref,Self_Ref,RT1b,-0.0005762128095861518
6,7,No_Ref,Self_Ref,RT1b,0.0007011207631562793
7,8,No_Ref,Self_Ref,RT1b,-6.787836685360482e-05
8,9,No_Ref,Self_Ref,RT1b,-0.000685288955579616
9,10,No_Ref,Self_Ref,RT1b,-0.00025949660628677985
10,11,No_Ref,Self_Ref,RT1b,0.00016294713282066775
11,12,No_Ref,Self_Ref,RT1b,0.0008663700936155539
12,13,No_Ref,Self_Ref,RT1b,0.0006644007546520447
13,14,No_Ref,Self_Ref,RT1b,0.0010421284624766048
14,15,No_Ref,Self_Ref,RT1b,7.662138360267078e-05
15,16,No_Ref,Self_Ref,RT1b,0.00032027633969181345
16,17,No_Ref,Self_Ref,RT1b,-0.0008659168167792248
17,18,No_Ref,Self_Ref,RT1b,0.0006525837182191241
18,19,No_Ref,Self_Ref,RT1b,0.00012231516450263158
19,20,No_Ref,Self_Ref,RT1b,5.786404172040127e-05
20,21,No_Ref,Self_Ref,RT1b,0.0005660689557885623
21,22,No_Ref,Self_Ref,RT1b,0.0002293667268366828
22,23,No_Ref,Self_Ref,RT1b,-0.00018501934423590383
23,24,No_Ref,Self_Ref,RT1b,-0.000480316148220189
24,25,No_Ref,Self_Ref,RT1b,0.0005506301254658175
25,26,No_Ref,Self_Ref,RT1b,0.0001434179938060387
26,27,No_Ref,Self_Ref,RT1b,0.0005120014214730684
27,28,No_Ref,Self_Ref,RT1b,0.00024245195772559235
28,29,No_Ref,Self_Ref,RT1b,0.0004821605020437103
29,30,No_Ref,Self_Ref,RT1b,-0.0005542835452433392
30,31,No_Ref,Self_Ref,RT1b,-0.00023114854384901352
31,32,No_Ref,Self_Ref,RT1b,4.7326312852663535e-05
32,33,No_Ref,Self_Ref,RT1b,-0.001052089965663916
33,34,No_Ref,Self_Ref,RT1b,0.0014417180836381327
34,35,No_Ref,Self_Ref,RT1b,0.0001569118700637584
35,36,No_Ref,Self_Ref,RT1b,-0.0006235719128081408
