,subj_idx,source,target,variable,value
0,1,No_Ref,Self_Ref,ACC1b,-0.000592873956588344
1,2,No_Ref,Self_Ref,ACC1b,0.0023319074198441536
2,3,No_Ref,Self_Ref,ACC1b,-0.0007214804781398243
3,4,No_Ref,Self_Ref,ACC1b,-0.00622592805263496
4,5,No_Ref,Self_Ref,ACC1b,0.0033986464494885154
5,6,No_Ref,Self_Ref,ACC1b,0.004744463930178899
6,7,No_Ref,Self_Ref,ACC1b,0.005499205855483064
7,8,No_Ref,Self_Ref,ACC1b,8.106908105100786e-05
8,9,No_Ref,Self_Ref,ACC1b,-0.004934138586614928
9,10,No_Ref,Self_Ref,ACC1b,-0.0017289084428010414
10,11,No_Ref,Self_Ref,ACC1b,0.0001526245568566953
11,12,No_Ref,Self_Ref,ACC1b,0.001762769179768947
12,13,No_Ref,Self_Ref,ACC1b,0.010843417059775826
13,14,No_Ref,Self_Ref,ACC1b,-0.00833308876429389
14,15,No_Ref,Self_Ref,ACC1b,-0.0012429862416737992
15,16,No_Ref,Self_Ref,ACC1b,-0.00029598978925127195
16,17,No_Ref,Self_Ref,ACC1b,0.006112975049084401
17,18,No_Ref,Self_Ref,ACC1b,0.002720384925650743
18,19,No_Ref,Self_Ref,ACC1b,-0.0023775508796743785
19,20,No_Ref,Self_Ref,ACC1b,0.003625773837584298
20,21,No_Ref,Self_Ref,ACC1b,-0.003481765823941124
21,22,No_Ref,Self_Ref,ACC1b,-0.0036248280415637655
22,23,No_Ref,Self_Ref,ACC1b,0.0030677828297640763
23,24,No_Ref,Self_Ref,ACC1b,-0.002661187229541778
24,25,No_Ref,Self_Ref,ACC1b,-0.005362165275472813
25,26,No_Ref,Self_Ref,ACC1b,0.00438866734254052
26,27,No_Ref,Self_Ref,ACC1b,-0.005762313697413224
27,28,No_Ref,Self_Ref,ACC1b,0.0016522324470719441
28,29,No_Ref,Self_Ref,ACC1b,0.009148488414886236
29,30,No_Ref,Self_Ref,ACC1b,-0.0021884652733450277
30,31,No_Ref,Self_Ref,ACC1b,-0.001640922305227821
31,32,No_Ref,Self_Ref,ACC1b,-0.0009179446755341825
32,33,No_Ref,Self_Ref,ACC1b,0.006488705544213167
33,34,No_Ref,Self_Ref,ACC1b,-0.003218385949040792
34,35,No_Ref,Self_Ref,ACC1b,0.005610729075325738
35,36,No_Ref,Self_Ref,ACC1b,0.0024388093021294743
36,37,No_Ref,Self_Ref,ACC1b,-0.003930891510923168
37,38,No_Ref,Self_Ref,ACC1b,0.0014651994394830226
38,39,No_Ref,Self_Ref,ACC1b,0.0015981979270922764
39,40,No_Ref,Self_Ref,ACC1b,0.0017381969318865154
40,41,No_Ref,Self_Ref,ACC1b,0.005020142473038014
41,42,No_Ref,Self_Ref,ACC1b,-0.01309491056523126
42,43,No_Ref,Self_Ref,ACC1b,0.004481818112380404
43,44,No_Ref,Self_Ref,ACC1b,0.0013157682197353193
44,45,No_Ref,Self_Ref,ACC1b,-0.0016365504458834778
45,46,No_Ref,Self_Ref,ACC1b,0.003012661486116558
46,47,No_Ref,Self_Ref,ACC1b,0.015152248306515487
47,48,No_Ref,Self_Ref,ACC1b,-0.004905213142384651
48,49,No_Ref,Self_Ref,ACC1b,-0.002130036404945035
49,50,No_Ref,Self_Ref,ACC1b,0.013412355455651942
50,51,No_Ref,Self_Ref,ACC1b,-0.002041274583863678
51,52,No_Ref,Self_Ref,ACC1b,0.003350591911821854
52,53,No_Ref,Self_Ref,ACC1b,0.0023947798719994697
53,54,No_Ref,Self_Ref,ACC1b,-0.003783782594479379
54,55,No_Ref,Self_Ref,ACC1b,0.0010623091815753106
55,56,No_Ref,Self_Ref,ACC1b,0.008383074108878013
56,57,No_Ref,Self_Ref,ACC1b,0.0061409436069364606
57,58,No_Ref,Self_Ref,ACC1b,0.0028492797983667383
58,59,No_Ref,Self_Ref,ACC1b,-0.0008474666610721826
59,60,No_Ref,Self_Ref,ACC1b,-0.012457841319738133
60,61,No_Ref,Self_Ref,ACC1b,-0.004042840922747454
61,62,No_Ref,Self_Ref,ACC1b,0.008756719122800743
62,63,No_Ref,Self_Ref,ACC1b,0.0006967201829117364
63,64,No_Ref,Self_Ref,ACC1b,0.00653380580172917
64,65,No_Ref,Self_Ref,ACC1b,-0.0030391146277073122
65,66,No_Ref,Self_Ref,ACC1b,-0.0011554082101926932
66,67,No_Ref,Self_Ref,ACC1b,0.00044457364867918624
67,68,No_Ref,Self_Ref,ACC1b,-0.0043389730918509724
68,69,No_Ref,Self_Ref,ACC1b,-0.0012138636459898878
69,70,No_Ref,Self_Ref,ACC1b,-0.00455839313902659
70,71,No_Ref,Self_Ref,ACC1b,-0.0032786873966677344
71,72,No_Ref,Self_Ref,ACC1b,-0.002735740760950833
72,73,No_Ref,Self_Ref,ACC1b,0.005295565399951857
73,74,No_Ref,Self_Ref,ACC1b,0.0030240257413611136
74,75,No_Ref,Self_Ref,ACC1b,0.0037696688986765927
75,76,No_Ref,Self_Ref,ACC1b,-0.006964598060326071
76,77,No_Ref,Self_Ref,ACC1b,-0.0009551051273228861
77,78,No_Ref,Self_Ref,ACC1b,-0.002280778374518383
78,79,No_Ref,Self_Ref,ACC1b,0.007440436353427437
79,80,No_Ref,Self_Ref,ACC1b,0.006916132569577155
80,81,No_Ref,Self_Ref,ACC1b,-0.0020265741809513014
81,82,No_Ref,Self_Ref,ACC1b,0.004181021354356862
82,83,No_Ref,Self_Ref,ACC1b,-0.0056742102429658105
83,84,No_Ref,Self_Ref,ACC1b,0.004276283623635491
84,85,No_Ref,Self_Ref,ACC1b,0.004397572185110726
85,86,No_Ref,Self_Ref,ACC1b,-0.004244894292065088
86,87,No_Ref,Self_Ref,ACC1b,0.0012389855013354213
87,88,No_Ref,Self_Ref,ACC1b,0.007892929018279421
88,89,No_Ref,Self_Ref,ACC1b,-0.007083879111453739
89,90,No_Ref,Self_Ref,ACC1b,-0.001582336969150544
90,91,No_Ref,Self_Ref,ACC1b,-0.0007304328962445872
91,92,No_Ref,Self_Ref,ACC1b,0.0015227702012505617
92,93,No_Ref,Self_Ref,ACC1b,0.005533950708315754
93,94,No_Ref,Self_Ref,ACC1b,0.002302295497619772
94,95,No_Ref,Self_Ref,ACC1b,-3.2443698800788124e-06
95,96,No_Ref,Self_Ref,ACC1b,-0.0023625245090530154
96,97,No_Ref,Self_Ref,ACC1b,0.004130677727878673
97,98,No_Ref,Self_Ref,ACC1b,-0.0042122476347135895
